Symbol,group
CG4849,EuRBP
mIF2,EuRBP
CG14062,EuRBP
Sid,EuRBP
CG1646,EuRBP
eIF4E6,EuRBP
Slu7,EuRBP
CG11837,EuRBP
Cul5,EuRBP
Pdhb,EuRBP
CG14506,EuRBP
Obp99a,EuRBP
IntS11,EuRBP
CG7834,EuRBP
RpS8,EuRBP
eIF2Balpha,EuRBP
CG7903,EuRBP
CG15525,EuRBP
Nph,EuRBP
CG7920,EuRBP
RpS28a,EuRBP
CG15526,EuRBP
RpS7,EuRBP
CG15535,EuRBP
mRpS18C,EuRBP
PH4alphaSG2,EuRBP
eIF4H2,EuRBP
CG12071,EuRBP
CG1542,EuRBP
CG15561,EuRBP
mRpL32,EuRBP
PNPase,EuRBP
CG11334,EuRBP
RpL6,EuRBP
pasha,EuRBP
CG11563,EuRBP
CG11360,EuRBP
Gyf,EuRBP
CG17514,EuRBP
Rab21,EuRBP
Marf1,EuRBP
CG17454,EuRBP
RpL38,EuRBP
Set1,EuRBP
yip2,EuRBP
wds,EuRBP
rept,EuRBP
kat80,EuRBP
eIF3d1,EuRBP
c12.1,EuRBP
Top3alpha,EuRBP
Spt5,EuRBP
RecQ4,EuRBP
CG3021,EuRBP
CG3704,EuRBP
CG14628,EuRBP
CG11398,EuRBP
eIF4E7,EuRBP
CG13375,EuRBP
mRpL14,EuRBP
kappaB-Ras,EuRBP
CG15864,EuRBP
Sf3b5,EuRBP
CG13551,EuRBP
CG12848,EuRBP
ND-B8,EuRBP
lilli,EuRBP
armi,EuRBP
Slbp,EuRBP
Atx2,EuRBP
Rheb,EuRBP
eIF2D,EuRBP
tral,EuRBP
mRpL36,EuRBP
CG18787,EuRBP
CG18789,EuRBP
Capr,EuRBP
CG18823,EuRBP
Arts,EuRBP
Apl,EuRBP
CG18749,EuRBP
MCU,EuRBP
HBS1,EuRBP
Chrac-14,EuRBP
CG5986,EuRBP
CG31381,EuRBP
mask,EuRBP
mRpS14,EuRBP
mRpS5,EuRBP
mRpS21,EuRBP
btz,EuRBP
bai,EuRBP
vig2,EuRBP
Wdr33,EuRBP
GstT1,EuRBP
CG30022,EuRBP
Rif1,EuRBP
CG30100,EuRBP
CG30105,EuRBP
CG30122,EuRBP
Prp38,EuRBP
CG30343,EuRBP
CG30349,EuRBP
CG30382,EuRBP
Sgf29,EuRBP
Opbp,EuRBP
mRpL53,EuRBP
FBgn0050497,EuRBP
CG31013,EuRBP
PH4alphaPV,EuRBP
CG31016,EuRBP
CG31075,EuRBP
Slimp,EuRBP
Rpb7,EuRBP
CG31156,EuRBP
mRRF2,EuRBP
LSm3,EuRBP
CG31301,EuRBP
CG31357,EuRBP
CG31368,EuRBP
CG31388,EuRBP
mRpS18A,EuRBP
CG31510,EuRBP
CG31550,EuRBP
CG31643,EuRBP
Tengl3,EuRBP
Tengl1,EuRBP
Cnot4,EuRBP
RluA-1,EuRBP
AspRS-m,EuRBP
SoYb,EuRBP
CG31759,EuRBP
CG31812,EuRBP
Tap42,EuRBP
CG31922,EuRBP
Sbat,EuRBP
CG31957,EuRBP
gw,EuRBP
4E-T,EuRBP
Rbfox1,EuRBP
CG32075,EuRBP
CG32201,EuRBP
CG32281,EuRBP
Mrtf,EuRBP
CG32344,EuRBP
CG32409,EuRBP
vito,EuRBP
shep,EuRBP
Atox1,EuRBP
Tengl2,EuRBP
Usp10,EuRBP
CG32533,EuRBP
CG32625,EuRBP
CG32706,EuRBP
CG32772,EuRBP
mRpL27,EuRBP
CG33051,EuRBP
CG33057,EuRBP
CG33082,EuRBP
CG33093,EuRBP
CG33099,EuRBP
eIF4EHP,EuRBP
CG33129,EuRBP
AGBE,EuRBP
CG33158,EuRBP
Ranbp16,EuRBP
CG33260,EuRBP
Urm1,EuRBP
CG33346,EuRBP
U3-55K,EuRBP
PNUTS,EuRBP
CG34015,EuRBP
CG34039,EuRBP
Nup153,EuRBP
CG33786,EuRBP
CG33785,EuRBP
endos,EuRBP
GatC,EuRBP
SLIRP1,EuRBP
RpL5,EuRBP
AlkB,EuRBP
RpL41,EuRBP
Rpp20,EuRBP
pps,EuRBP
CG34140,EuRBP
mRpL34,EuRBP
RpS28-like,EuRBP
CG34195,EuRBP
CG34283,EuRBP
CG34317,EuRBP
CG34354,EuRBP
trv,EuRBP
Not1,EuRBP
htk,EuRBP
CG40813,EuRBP
CG41562,EuRBP
snama,EuRBP
Dbp21E2,EuRBP
ALiX,EuRBP
Tpi,EuRBP
Sec61alpha,EuRBP
AsnRS,EuRBP
l(2)37Cb,EuRBP
l(2)37Cg,EuRBP
su(r),EuRBP
l(2)k09022,EuRBP
RpS25,EuRBP
fne,EuRBP
Spf45,EuRBP
UK114,EuRBP
Bre1,EuRBP
pix,EuRBP
ncm,EuRBP
RpL30,EuRBP
pea,EuRBP
egg,EuRBP
Karybeta3,EuRBP
AGO2,EuRBP
Sbp2,EuRBP
alphaTub67C,EuRBP
kra,EuRBP
CG42232,EuRBP
Chd1,EuRBP
UQCR-C2,EuRBP
AGO3,EuRBP
roh,EuRBP
26-29-p,EuRBP
rig,EuRBP
DNApol-alpha180,EuRBP
glo,EuRBP
fid,EuRBP
Clbn,EuRBP
5PtaseI,EuRBP
Jabba,EuRBP
Nsun5,EuRBP
CG42382,EuRBP
CG42360,EuRBP
wech,EuRBP
zld,EuRBP
4-Sep,EuRBP
CG42458,EuRBP
Nop60B,EuRBP
flr,EuRBP
elav,EuRBP
mRpS23,EuRBP
Pp2A-29B,EuRBP
FBgn0260441,EuRBP
CG4806,EuRBP
eIF4G2,EuRBP
Larp7,EuRBP
wisp,EuRBP
ctrip,EuRBP
cuff,EuRBP
Rbp6,EuRBP
Rbp1,EuRBP
pic,EuRBP
Incenp,EuRBP
FBgn0261014,EuRBP
Cpsf73,EuRBP
LSm1,EuRBP
LSm7,EuRBP
Prp19,EuRBP
Opa1,EuRBP
Mat89Ba,EuRBP
mRpL37,EuRBP
mtTFB1,EuRBP
IntS6,EuRBP
SdhA,EuRBP
capt,EuRBP
lic,EuRBP
cdm,EuRBP
l(2)34Fd,EuRBP
ps,EuRBP
Thor,EuRBP
RpS6,EuRBP
RpS24,EuRBP
RpS26,EuRBP
RpS29,EuRBP
RpL8,EuRBP
RpL37A,EuRBP
eIF2alpha,EuRBP
larp,EuRBP
salm,EuRBP
CG42726,EuRBP
nocte,EuRBP
SmD2,EuRBP
SmE,EuRBP
SNRPG,EuRBP
snRNP-U1-C,EuRBP
Dhc64C,EuRBP
cu,EuRBP
aPKC,EuRBP
scaf6,EuRBP
SmD1,EuRBP
mtRNApol,EuRBP
kdn,EuRBP
Ire1,EuRBP
Pxt,EuRBP
RanBPM,EuRBP
IntS3,EuRBP
Sec23,EuRBP
Sec24CD,EuRBP
bru2,EuRBP
Vha44,EuRBP
VhaAC45,EuRBP
Mi-2,EuRBP
Mdh2,EuRBP
SmB,EuRBP
dati,EuRBP
Arp3,EuRBP
mbf1,EuRBP
eIF4H1,EuRBP
mub,EuRBP
AGO1,EuRBP
Fs(2)Ket,EuRBP
Rpb12,EuRBP
RpII140,EuRBP
DnaJ-1,EuRBP
Prosalpha1,EuRBP
mEFG1,EuRBP
vret,EuRBP
bin3,EuRBP
bel,EuRBP
vnc,EuRBP
Unr,EuRBP
sqd,EuRBP
lost,EuRBP
l(3)72Ab,EuRBP
DNApol-delta,EuRBP
Zn72D,EuRBP
eIF2gamma,EuRBP
Rpb4,EuRBP
CG34334,EuRBP
mRpL45,EuRBP
qin,EuRBP
spoon,EuRBP
cpo,EuRBP
bru3,EuRBP
Cnx14D,EuRBP
Sxl,EuRBP
orb2,EuRBP
how,EuRBP
CkIIalpha,EuRBP
ens,EuRBP
CG44002,EuRBP
FDY,EuRBP
eIF4E3,EuRBP
CG44242,EuRBP
CG44249,EuRBP
Snp,EuRBP
pAbp,EuRBP
SC35,EuRBP
Cdc5,EuRBP
sno,EuRBP
coro,EuRBP
Doa,EuRBP
Patr-1,EuRBP
GlyS,EuRBP
Tgs1,EuRBP
Ns3,EuRBP
stai,EuRBP
kis,EuRBP
NO66,EuRBP
ebo,EuRBP
pit,EuRBP
Sf3a1,EuRBP
PyK,EuRBP
Pen,EuRBP
rump,EuRBP
HnRNP-K,EuRBP
PheRS-m,EuRBP
vas,EuRBP
SF2,EuRBP
l(2)10685,EuRBP
Rpp30,EuRBP
THG,EuRBP
eEF1alpha1,EuRBP
LeuRS,EuRBP
Impbeta11,EuRBP
bsf,EuRBP
Imp,EuRBP
Rab1,EuRBP
RpS10b,EuRBP
RpL27A,EuRBP
RpL31,EuRBP
RpL19,EuRBP
eEF5,EuRBP
caz,EuRBP
prg,EuRBP
bam,FlyBase
bcd,FlyBase
D,FlyBase
msl-3,FlyBase
otu,FlyBase
su(sable),FlyBase
swa,FlyBase
TH1,FlyBase
FBgn0015318,FlyBase
CG2034,FlyBase
apt,FlyBase
dbe,FlyBase
ytr,FlyBase
fus,FlyBase
CG2685,FlyBase
anon-25Dd,FlyBase
NiPp1,FlyBase
mRpL18,FlyBase
l(1)G0004,FlyBase
NELF-B,FlyBase
Mt2,FlyBase
CG2124,FlyBase
CG5334,FlyBase
CG6179,FlyBase
CG12788,FlyBase
cactin,FlyBase
CG3436,FlyBase
CG15432,FlyBase
WDR79,FlyBase
CG4438,FlyBase
RpL7-like,FlyBase
CG10189,FlyBase
eIF3f2,FlyBase
U2A,FlyBase
CG8078,FlyBase
mIF3,FlyBase
eIF2Bgamma,FlyBase
CG12970,FlyBase
Panx,FlyBase
CG12782,FlyBase
eIF6,FlyBase
CG3735,FlyBase
thoc5,FlyBase
CG11486,FlyBase
CG12493,FlyBase
blanks,FlyBase
CG7504,FlyBase
PCID2,FlyBase
CG11263,FlyBase
CG12477,FlyBase
eIF3f1,FlyBase
CG1427,FlyBase
CG8043,FlyBase
Elp1,FlyBase
Sra-1,FlyBase
CG7706,FlyBase
Nelf-A,FlyBase
CG6015,FlyBase
CG6204,FlyBase
Ude,FlyBase
CG4884,FlyBase
PIP4K,FlyBase
CG17168,FlyBase
CG31249,FlyBase
nxf4,FlyBase
tut,FlyBase
CG32708,FlyBase
CG33172,FlyBase
Vps36,FlyBase
Snup,FlyBase
Rrp40,FlyBase
ban,FlyBase
bft,FlyBase
Nxf3,FlyBase
Rcd5,FlyBase
CG43902,FlyBase
Pcf11,FlyBase
mbl,FlyBase
Top2,FlyBase
Rnmt,FlyBase
hoip,FlyBase
FBgn0287187,FlyBase
